Emp ID,First Name,Last Name,Gender,E Mail,Father's Name,Mother's Name,Date of Birth,Age in Yrs.,Date of Joining,Salary,SSN,Phone No. 
850297,sha,Buck,F,shawna.buck@gmail.com,Rosario Buck,Keisha Buck,12-12-1971,45.66,12/18/2010,119090,222-11-7603,702-771-7149
304721,Nathaniel,Burke,M,nathaniel.burke@walmart.com,Derrick Burke,Phoebe Burke,10/31/1993,23.76,4/25/2017,117991,550-99-9897,231-765-6923
412317,Elisabeth,Foster,F,elisabeth.foster@gmail.com,Irwin Foster,Janie Foster,11/26/1994,22.68,3/27/2017,161045,215-91-0004,270-749-4774
621375,Briana,Lancaster,F,briana.lancaster@yahoo.com,Jeffrey Lancaster,Shelby Lancaster,11/24/1975,41.7,2/25/2003,142616,534-71-1053,219-623-8216
787549,Estella,Potter,F,estella.potter@gmail.com,Booker Potter,Katelyn Potter,3/13/1995,22.39,10-11-2016,135706,644-29-6396,907-677-8486
520092,Lamont,Woods,M,lamont.woods@hotmail.com,Ignacio Woods,Beulah Woods,10/13/1991,25.81,11/27/2014,173027,037-74-2595,236-597-8196
795934,Melinda,Lopez,F,melinda.lopez@hotmail.com,Leroy Lopez,Edna Lopez,9/15/1984,32.89,11/22/2005,41287,541-83-6362,210-396-1493
159108,Shanna,Silva,F,shanna.silva@gmail.com,Eliseo Silva,Minnie Silva,6/19/1958,59.15,10/23/1999,85833,673-48-7003,236-373-6712
330816,Jasmine,Freeman,F,jasmine.freeman@gmail.com,Hans Freeman,Renee Freeman,8/31/1961,55.95,02-01-1983,154216,600-99-8437,423-796-1535
532002,Madge,Sargent,F,madge.sargent@aol.com,Luke Sargent,Judy Sargent,10-02-1981,35.84,4/13/2006,133003,177-86-7347,217-910-0644
612850,Bethany,Cline,F,bethany.cline@yahoo.ca,Eddie Cline,Deanne Cline,10-01-1986,30.84,4/19/2008,154836,700-18-6519,215-970-5881
483751,Reid,Randolph,M,reid.randolph@gmail.com,Grover Randolph,Erika Randolph,1/20/1989,28.54,04-08-2017,124757,343-11-4951,209-996-8902
252938,Antoine,Wiley,M,antoine.wiley@verizon.net,Frances Wiley,Naomi Wiley,2/22/1996,21.44,4/18/2017,58733,078-02-8772,503-361-6334
966375,Mathew,Hodge,M,mathew.hodge@hotmail.com,Prince Hodge,Regina Hodge,07-05-1995,22.08,11-11-2016,75584,161-86-9547,209-294-7430
707520,Bernardo,Austin,M,bernardo.austin@hotmail.com,Lowell Austin,Shauna Austin,02-02-1975,42.51,1/26/2005,118693,143-23-9034,319-716-4227
673049,Cole,Jensen,M,cole.jensen@aol.com,Terence Jensen,Belinda Jensen,02-10-1990,27.48,5/30/2011,98381,762-12-1934,405-495-4201
265124,Tonia,Burns,F,tonia.burns@gmail.com,Johnathan Burns,Brianna Burns,4/19/1985,32.3,09-12-2014,102274,093-02-0725,209-631-5424
300693,Tod,Holcomb,M,tod.holcomb@outlook.com,Gail Holcomb,Beulah Holcomb,6/21/1987,30.12,06-05-2015,91719,770-02-9125,240-364-4220
369712,Yesenia,Guerrero,F,yesenia.guerrero@btinternet.com,Alfred Guerrero,Lori Guerrero,3/29/1968,49.36,03-03-1994,150016,494-29-3248,240-505-5321
913253,Carey,Ferrell,M,carey.ferrell@yahoo.com,Robby Ferrell,Christi Ferrell,5/22/1972,45.21,10/30/2004,125232,522-99-2018,212-495-4523
308617,Aileen,Blanchard,F,aileen.blanchard@gmail.com,Kurt Blanchard,Virgie Blanchard,12-05-1986,30.67,7/18/2009,179264,401-73-0903,308-788-3843
766783,Marta,Cervantes,F,marta.cervantes@gmail.com,Fletcher Cervantes,Hazel Cervantes,2/17/1971,46.47,9/17/2016,68134,530-99-5537,206-858-9176
959506,Arthur,Holloway,M,arthur.holloway@aol.com,Reggie Holloway,Rosemarie Holloway,9/21/1970,46.88,1/27/2004,118621,210-84-4283,225-832-0451
513011,Tara,Forbes,F,tara.forbes@gmail.com,Davis Forbes,Elvia Forbes,6/26/1976,41.12,9/24/2009,85864,249-99-1301,319-249-4281
290808,Josef,Griffin,M,josef.griffin@yahoo.com,Dee Griffin,Leonor Griffin,8/14/1976,40.98,2/25/1998,98030,263-99-4192,209-441-9130
253588,Keri,Slater,F,keri.slater@apple.com,Tyler Slater,Jeanne Slater,08-03-1960,57.02,08-09-1994,149842,391-33-2772,207-842-2965
865628,Desmond,Wynn,M,desmond.wynn@hotmail.com,Louis Wynn,Marianne Wynn,07-09-1992,25.07,10-01-2013,79476,672-48-8042,209-319-3405
583924,Adrienne,Puckett,F,adrienne.puckett@verizon.net,Fletcher Puckett,Nicole Puckett,5/22/1975,42.21,2/22/1997,105366,218-89-2915,209-235-0390
932453,Beatriz,Knowles,F,beatriz.knowles@gmail.com,Jackson Knowles,Ava Knowles,2/25/1984,33.44,9/16/2011,53311,708-18-8763,406-923-1326
